seed,step,position,net_worth
456,0,-1.0,9997.198272864509
456,1,-1.0,9997.060119619293
456,2,-1.0,9998.279256054602
456,3,-1.0,10000.65199324099
456,4,-1.0,10007.153291390363
456,5,-1.0,10011.912332184722
456,6,-1.0,10018.673664669193
456,7,-1.0,10024.75317451807
456,8,-1.0,10028.415927452716
456,9,-1.0,10027.038256611644
456,10,-1.0,10026.878527864139
456,11,-1.0,10028.367563347347
456,12,-1.0,10032.491261823925
456,13,-1.0,10033.160715996937
456,14,-1.0,10040.17200691656
456,15,-1.0,10047.86097762689
456,16,-1.0,10052.464978844906
456,17,-1.0,10053.601583963471
456,18,-1.0,10059.428204831729
456,19,-1.0,10058.447904405331
456,20,-1.0,10055.918620505685
456,21,-1.0,10048.57741447445
456,22,-1.0,10040.629400649148
456,23,-1.0,10030.651462647942
456,24,-1.0,10020.33445386413
456,25,-1.0,10009.390375878776
456,26,-1.0,10003.13245736526
456,27,-1.0,9999.098387204896
456,28,-1.0,9992.146020523935
456,29,-1.0,9987.946220941834
456,30,-1.0,9985.501040593077
456,31,-1.0,9980.644755126625
456,32,-1.0,9976.093720167448
456,33,-1.0,9975.506605161047
456,34,-1.0,9969.74878716428
456,35,-1.0,9964.179906549236
456,36,-1.0,9966.755759466694
456,37,-1.0,9965.846036327584
456,38,-1.0,9968.691648708264
456,39,-1.0,9980.88691670655
456,40,-1.0,9996.91088092552
456,41,-1.0,10004.371602648627
456,42,-1.0,10012.063643449812
456,43,-1.0,10015.984728445277
456,44,-1.0,10013.588891027803
456,45,-1.0,10005.960684928237
456,46,-1.0,10001.251308436274
456,47,-1.0,9996.097898587032
456,48,-1.0,9994.046611820988
456,49,-1.0,9992.665445586283
456,50,0.0,9989.667645952608
456,51,1.0,9988.32727310458
456,52,1.0,9986.82453599237
456,53,1.0,9997.22535000381
456,54,1.0,10012.384873894727
456,55,1.0,10026.983397704153
456,56,0.0,10023.975302684841
456,57,-1.0,10022.410203390293
456,58,-1.0,10026.77108382426
456,59,-1.0,10035.056443531925
456,60,-1.0,10040.277841148258
456,61,-1.0,10042.053390287878
456,62,-1.0,10037.272242831465
456,63,-1.0,10039.700942201163
456,64,-1.0,10042.244554573834
456,65,-1.0,10043.758040490806
456,66,-1.0,10043.335787500575
456,67,-1.0,10040.82392074016
456,68,-1.0,10038.815883855808
456,69,-1.0,10040.796250388925
456,70,-1.0,10042.415268786917
456,71,-1.0,10047.870422197386
456,72,-1.0,10057.162882831826
456,73,-1.0,10067.751823607061
